Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Sri Lanka,LKA,2023,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.80557090042911
Sri Lanka,LKA,2022,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.4151051187988
Sri Lanka,LKA,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,3.79595549612966
Sri Lanka,LKA,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,6.22902105655138
Sri Lanka,LKA,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.5923419238583
Sri Lanka,LKA,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.7384766640102
Sri Lanka,LKA,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.8689121658831
Sri Lanka,LKA,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.949322724285
Sri Lanka,LKA,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.295543277134
Sri Lanka,LKA,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.3049675146716
Sri Lanka,LKA,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.6366939000183
Sri Lanka,LKA,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.99726630403908
Sri Lanka,LKA,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.4729993536541
Sri Lanka,LKA,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,9.52798562684637
Sri Lanka,LKA,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.4950232524767
Sri Lanka,LKA,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.3111003459365
Sri Lanka,LKA,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.5292664527545
Sri Lanka,LKA,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.2098552964417
Sri Lanka,LKA,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.868740961284
Sri Lanka,LKA,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.6216899606426
Sri Lanka,LKA,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.3636605394443
Sri Lanka,LKA,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.2502878527832
Sri Lanka,LKA,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.7140605400889
Sri Lanka,LKA,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.6768556020014
Sri Lanka,LKA,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.1887418716068
Sri Lanka,LKA,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.4237946179517
Sri Lanka,LKA,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.4310105253486
Sri Lanka,LKA,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.173860022489
Sri Lanka,LKA,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.4901084076872
Sri Lanka,LKA,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.4136027841772
Sri Lanka,LKA,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.5927191939463
Sri Lanka,LKA,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.8874906564996
Sri Lanka,LKA,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.5450039506727
Sri Lanka,LKA,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.4302610842869
Sri Lanka,LKA,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.0437551999914
Sri Lanka,LKA,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.7007210346399
Sri Lanka,LKA,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.8909081854772
Sri Lanka,LKA,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.567466721113
Sri Lanka,LKA,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.7504879569669
Sri Lanka,LKA,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.915983103433
Sri Lanka,LKA,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.6445402176844
Sri Lanka,LKA,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.284170859291
Sri Lanka,LKA,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.4624657112636
Sri Lanka,LKA,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.4741175013482
Sri Lanka,LKA,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.4657761852546
Sri Lanka,LKA,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.459970804696
Sri Lanka,LKA,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.04933029504119
Sri Lanka,LKA,1976,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,4.89901043569675
Sri Lanka,LKA,1975,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,5.03646392641047
Sri Lanka,LKA,2023,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,50.6955882607179
Sri Lanka,LKA,2022,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,25.5661756241112
Sri Lanka,LKA,2021,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.7188166767198
Sri Lanka,LKA,2020,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,18.3058359006694
Sri Lanka,LKA,2019,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,15.2519292267309
Sri Lanka,LKA,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.4720108683858
Sri Lanka,LKA,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.1315292947193
Sri Lanka,LKA,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.2509740646768
Sri Lanka,LKA,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.7860447783384
Sri Lanka,LKA,2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,15.0798941335964
Sri Lanka,LKA,2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.8872217889552
Sri Lanka,LKA,2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,12.33805334723
Sri Lanka,LKA,2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,11.850183490652
Sri Lanka,LKA,2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,14.4028168878337
Sri Lanka,LKA,2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,16.4006565019862
